,class,lines,direction,text,signs,complete,alignment,sign height,images
1,SC,1,R/L,+460-513-740-400-142-000+,6,N,Partly linear,Unequal,
1,SC,1,R/L,+820-595-813-541+,4,Y,Linear,Unequal,
1,PP,1,R/L,+740-061-002-400-703+,5,Y,Linear,Equal,
1,SP,1,R/L,]740-717-240-002-820+,5,?,Partly linear,Unequal,
1,PP,1,R/L,+740-904-002-820+,4,Y,Linear,Equal,
1,PP,1,R/L,+740-585-017-002-820+,5,Y,Linear,Equal,
1,PP,1,R/L,+740-416-621-002-820+,5,Y,Stacked linear,Unequal,
1,LC,1,R/L,+621-520-072-921-368-000-000+,7,N,Partly linear,Unequal,
1,PP,1,R/L,+740-772-235+,3,Y,Linear,Equal,
1,SP,1,R/L,+520-220-002-861+,4,Y,Linear,Equal,
1,UC,1,R/L,+679-000-000[,3,N,Linear,Equal,
1,SP,1,R/L,+621-520-231-240-002-456+,6,Y,Partly linear,Equal,
1,PP,1,R/L,+241-742-041+,3,Y,Linear,Equal,
1,SP,1,R/L,+740-032-840-235-002-861+,6,Y,Partly linear,Unequal,
1,UC,1,R/L,+740-923-877-032-803-000-000+,7,N,Linear,Equal,
1,SP,1,R/L,+860-520-231-803-001-440[,6,?,Linear,Equal,
1,MS,1,R/L,+740-760-335-002-033-705+,6,Y,Linear,Unequal,
1,PP,1,R/L,+740-690-435-255-233+,5,Y,Linear,Equal,
1,UC,1,R/L,+520-000-000-233+,4,N,Linear,Equal,
1,SP,1,R/L,+232-220-032-002-168-032+,6,Y,Linear,Equal,
1,UC,1,R/L,+000-136-031-002-861+,5,N,Slanting linear,Equal,
1,SP,1,R/L,+520-233-031-002-861+,5,Y,Linear,Increasing,
1,UC,1,,+136+,1,Y,Indefinable,Indefinable,
1,UC,1,R/L,+740-760-000[,3,N,Linear,Equal,
1,SC,1,R/L,]741-315-850-001-820[,5,?,Linear,Equal,
1,PP,1,R/L,+090-740-920-140-060-692+,6,Y,Partly linear,Unequal,
1,SP,1,R/L,+740-923-240-002-817+,5,Y,Linear,Equal,
1,UC,1,R/L,+527-554-000[,3,N,Linear,Equal,
1,SS,1,R/L,+740-482+,2,Y,Linear,Unequal,
1,2L,2,R/L,+520-033-705-220-032/231-072-002-270-633-032+,11,Y,Linear,Unequal,
1,SC,1,T/B,+390-403+,2,Y,Stacked linear,Indefinable,
1,UC,1,R/L,]000-033-032-920-140-545+,6,N,Linear,Equal,
1,??,1,R/L,]000-690+,2,N,Linear,Unequal,
1,PP,1,R/L,+740-760-002-817+,4,Y,Linear,Unequal,
1,UC,1,,+002-820-906-000[,4,N,Indefinable,Indefinable,
1,SS,1,R/L,+740-927+,2,Y,Linear,Unequal,
1,SC,1,R/L,+035-171-158+,3,Y,Linear,Equal,
1,SP,1,R/L,+740-927-231-060-692+,5,Y,Partly linear,Unequal,
1,2L,2,,+621/090-740-231-560-534+,6,Y,Unordered,Unequal,
1,3L,3,R/L,]000/000-125-632-032/240-002-244-632+,9,N,Linear line-by-line,Equal,
1,2L,2,R/L,]861-892-692/000-220-002-824[,7,N,Partly linear,Unequal,
