,class,lines,direction,text,signs,complete,alignment,sign height,images
1,SS,1,R/L,+740-840-013+,3,Y,Strong linear,Equal,
1,PP,1,R/L,+740-482-235+,3,Y,Linear,Unequal,
1,UC,1,R/L,+740-016-002-000[,4,N,Linear,Equal,
1,SP,1,R/L,+740-798-240-060-111-166+,6,Y,Partly linear,Unequal,
1,UC,1,R/L,+390-016-140-000[,4,N,Linear,Equal,
1,SP,1,R/L,+740-406-590-741-060-920+,6,Y,Linear,Equal,
1,MS,1,R/L,+390-003-480-368-861+,5,Y,Linear,Unequal,
1,UC,1,R/L,+090-255-740-233-000[,5,N,Linear,Equal,
1,PP,1,R/L,+740-176-233+,3,Y,Linear,Unequal,
1,PP,1,R/L,+422-003-001-060-065-405-720+,7,Y,Linear,Adapted,
1,SC,1,R/L,+104-892-390-406+,4,Y,Partly linear,Indefinable,
1,PP,1,R/L,+151-100-220+,3,Y,Linear,Unequal,
1,SC,1,R/L,+520-315-002-861-626+,5,Y,Linear,Equal,
1,SP,1,R/L,+090-740-233-002-817+,5,Y,Partly linear,Unequal,
1,SS,1,R/L,+156-003+,2,Y,Linear,Indefinable,
1,SS,1,R/L,+151-590-390+,3,Y,Linear,Unequal,
1,SC,1,R/L,+411-440-236-220-741-634+,6,Y,Linear,Unequal,
1,LC,1,R/L,+527-388-233-740-176-002-861-392+,8,Y,Linear,Equal,
1,SC,1,R/L,+409-190-002-798-055+,5,Y,Linear,Unequal,
1,2L,2,R/L,+865-685/226-032-741-390+,6,Y,Unordered,Unequal,
1,PP,1,R/L,+527-555-231-235+,4,Y,Linear,Equal,
1,UC,1,L/R,+527-550+,2,Y,Linear,Equal,
1,PP,1,R/L,+740-176-233+,3,Y,Linear,Equal,
1,SS,1,L/R,+740-912+,2,Y,Partly linear,Unequal,
1,UC,1,,+832-002-861+,3,Y,Linear,Equal,
1,UC,1,R/L,+740-550+,2,Y,Linear,Equal,
1,UC,1,R/L,+740-032-840+,3,Y,Linear,Unequal,
1,SS,1,L/R,+740-861-140+,3,Y,Linear,Equal,
1,UC,1,R/L,]003-002-861[,3,?,,,
1,UC,1,,]740[,1,?,Indefinable,Indefinable,
1,UC,1,R/L,]740-760[,2,?,,,
1,UC,1,R/L,]240-002-861+,3,?,Linear,Equal,
1,NU,1,,+013+,1,Y,Indefinable,Indefinable,
3,??,1,,+000+,1,N,Indefinable,Indefinable,
5,UC,1,,+647+,1,Y,Indefinable,Indefinable,
7,UC,1,,+220+,1,Y,Indefinable,Indefinable,
9,UC,1,R/L,+000-904-220-032-000-000-000+,7,N,Partly linear,Indefinable,
1,UC,1,R/L,+090-740-000-503+,4,N,Linear,Equal,
1,UC,1,R/L,+000-003-742-000-001+,5,N,Linear,Equal,
1,UC,1,,+031-625-000[,3,N,Linear,Unequal,
1,SC,1,R/L,+806-231-002-221+,4,Y,Linear,Equal,
1,SP,1,R/L,+740-806-240-002-820+,5,Y,Linear,Equal,
1,UC,1,,+048-002-817+,3,Y,Linear,Equal,
1,UC,1,,+285-705+,2,Y,Linear,Equal,
1,UC,1,R/L,+000-845-616+,3,N,Linear,Unequal,
1,LP,1,R/L,+740-032-840-233-220-032-060-825-002+,9,Y,Linear,Equal,
1,MS,1,R/L,+405-005-001-063-615-262+,6,Y,Linear,Equal,
1,SP,1,R/L,+527-555-235-002-861+,5,Y,Linear,Equal,
1,PP,1,R/L,+423-003-060-407-140+,5,Y,Linear,Equal,
1,PP,1,,+416-002-824+,3,Y,Linear,Equal,
1,PP,1,R/L,+520-070-255-832-002-817+,6,Y,Linear,Equal,
1,UC,1,,+719-001-595-820[,4,?,Linear,Equal,
1,??,1,R/L,+111-000[,2,N,Linear,Equal,
1,UC,1,L/R,+740-000-175-002-880+,5,N,,,
1,UC,1,R/L,+400-000-692+,3,N,Linear,Unequal,
1,UC,1,R/L,+409-015+,2,Y,Linear,Equal,
1,PP,1,R/L,+520-220-415-519+,4,Y,Linear,Equal,
1,SC,1,R/L,+390-700-790-032-063+,5,Y,,,
1,AN,1,R/L,+154-005+,2,Y,Linear,Equal,
1,UC,1,R/L,+740-575-000[,3,N,Linear,Equal,
1,UC,1,,+544-000-000-000+,4,N,Linear,Equal,
1,UC,1,,+586+,1,Y,Indefinable,Indefinable,
1,UC,1,,+550+,1,Y,Indefinable,Indefinable,
1,UC,1,,+000-844-627-001+,4,N,Linear,Equal,
1,PP,1,R/L,+740-904-240-235+,4,Y,Linear,Equal,
1,PP,1,R/L,+740-760-605-002-540-590+,6,Y,Linear,Equal,
1,??,1,,]000-550+,2,N,Linear,Equal,
1,LP,1,R/L,+740-407-590-904-220-032-803-060-920+,9,Y,Linear,Equal,
1,SC,1,R/L,+575-705-056-031+,4,Y,Linear,Equal,
1,UC,1,,+000-611-820+,3,N,,,
1,AN,1,L/R,+140-032+,2,Y,Linear,Equal,
1,PP,1,R/L,+527-550-740-443-060-820+,6,Y,Linear,Equal,
1,MS,1,R/L,+090-740-220-055-001-741-500-705+,8,Y,,,
1,MS,1,R/L,+090-740-220-055-001-741-500-705+,8,Y,,,
1,MS,1,R/L,+090-740-220-055-001-741-500-705+,8,Y,,,
1,MS,1,R/L,+090-740-220-055-001-741-500-705+,8,Y,,,
1,MS,1,R/L,+090-740-220-055-001-741-500-705+,8,Y,,,
1,UC,1,R/L,+236-002-861+,3,Y,,,
1,UC,1,R/L,+236-002-861+,3,Y,,,
1,UC,1,R/L,+226-000[,2,N,,,
1,UC,1,R/L,]002-861+,2,?,,,
1,PP,1,R/L,+520-233-220-240-002-617+,6,Y,,,
1,UC,1,R/L,]002-617+,2,?,,,
1,UC,1,R/L,]000-000-002-820+,4,N,,,
1,UC,1,,+520-070-002-000[,4,N,,,
1,PP,1,R/L,]390-590-032-002-880[,5,?,,,
1,UC,1,R/L,+151-740-000-000-000+,5,N,,,
1,UC,1,R/L,+740-552-031-700-000-000+,6,N,,,
1,PP,1,R/L,+140-015-001-031-692+,5,Y,,,
1,SP,1,R/L,+740-388-220-004-060-920+,6,Y,,,
1,UC,1,R/L,+320-706-000-220[,4,N,,,
1,PP,1,R/L,+390-415-002-550+,4,Y,,,
1,SS,1,R/L,+520-033-705+,3,Y,,,
1,UC,1,R/L,+269-031-000-000+,4,N,,,
1,UC,1,R/L,]000-000-060-820+,4,N,,,
1,UC,1,R/L,]000-798-000+,3,N,,,
1,UC,1,,]838+,1,?,Indefinable,Indefinable,
1,PP,1,R/L,+740-048-002-817+,4,Y,,,
1,PP,1,R/L,+740-048-002-817+,4,Y,,,
1,PP,1,R/L,+740-048-002-817+,4,Y,,,
1,PP,1,R/L,+740-048-002-817+,4,Y,,,
1,PP,1,R/L,+740-048-002-817+,4,Y,,,
1,PP,1,R/L,+740-048-002-817+,4,Y,,,
1,PP,1,R/L,+740-048-002-817+,4,Y,,,
1,PP,1,R/L,+740-048-002-817+,4,Y,,,
1,PP,1,R/L,+740-048-002-817+,4,Y,,,
1,PP,1,R/L,+740-048-002-817+,4,Y,,,
1,UC,1,R/L,]740-000-000+,3,N,,,
1,UC,1,R/L,+740-100-140-000[,4,N,,,
1,UC,1,R/L,+226-415-000[,3,N,,,
1,UC,1,,+617-899-700[,3,?,,,
1,UC,1,,]717-705-002[,3,?,,,
1,UC,1,R/L,]151-740[,2,?,,,
1,UC,1,,]837+,1,?,Indefinable,Indefinable,
1,??,1,R/L,+740-000[,2,N,,,
3,??,1,R/L,+520-000[,2,N,,,
5,??,1,R/L,+033-000[,2,N,,,
