,class,lines,direction,text,signs,complete,alignment,sign height,images
1,MS,1,R/L,+423-003-001-900-740-690-435-255+,8,Y,,,
1,MS,1,R/L,+001-740-923-033-706+,5,Y,,,
1,MS,1,R/L,+001-740-923-033-706+,5,Y,,,
1,MS,1,R/L,+001-740-923-033-706+,5,Y,,,
1,MS,1,R/L,+001-740-923-033-706+,5,Y,,,
1,UC,1,,+000-923-000+,3,N,,,
1,LC,1,R/L,+407-321-407-845-033-705-235+,7,Y,,,
1,LC,1,R/L,+407-321-407-845-033-705-235+,7,Y,,,
1,LC,1,R/L,+407-321-407-845-033-705-235+,7,Y,,,
1,LC,1,R/L,+407-321-407-845-033-705-235+,7,Y,,,
1,LC,1,R/L,+407-321-407-845-033-705-235+,7,Y,,,
1,LC,1,R/L,+407-321-407-845-033-705-235+,7,Y,,,
1,UC,1,R/L,]000-000-740-000+,4,N,,,
1,LC,1,R/L,+407-321-407-845-033-705-235+,7,Y,,,
1,LC,1,R/L,+407-321-407-845-033-705-235+,7,Y,,,
1,MS,1,R/L,+790-740-100-176-421-003+,6,Y,,,
1,MS,1,R/L,+790-740-100-176-421-003+,6,Y,,,
1,MS,1,R/L,+790-740-100-176-421-003+,6,Y,,,
1,MS,1,R/L,+000-176-421-003+,4,N,,,
1,PP,1,R/L,+407-032-520-095-585-017-231+,7,Y,,,
1,PP,1,R/L,+407-032-520-095-585-017-231+,7,Y,,,
1,PP,1,R/L,+407-032-520-095-585-017-231+,7,Y,,,
1,PP,1,R/L,+740-100-233-003+,4,Y,,,
1,SS,1,R/L,+740-752-615-503+,4,Y,,,
1,SS,1,R/L,+740-752-615-503+,4,Y,,,
1,SS,1,R/L,+740-752-615-503+,4,Y,,,
1,SS,1,R/L,+740-752-615-503+,4,Y,,,
1,SS,1,R/L,+740-752-615-503+,4,Y,,,
1,SS,1,R/L,+740-752-615-503+,4,Y,,,
1,SS,1,R/L,+740-752-615-503+,4,Y,,,
1,SS,1,R/L,+740-752-615-503+,4,Y,,,
1,SS,1,R/L,+740-752-615-503+,4,Y,,,
1,SS,1,R/L,+740-752-615-503+,4,Y,,,
1,SS,1,R/L,+740-752-615-503+,4,Y,,,
1,SS,1,R/L,+740-752-615-503+,4,Y,,,
1,SS,1,R/L,+740-752-615-503+,4,Y,,,
1,SS,1,R/L,+740-752-615-503+,4,Y,,,
1,SS,1,R/L,+740-752-615-503+,4,Y,,,
1,PP,1,R/L,+407-061-845-240-798+,5,Y,,,
1,PP,1,R/L,+407-061-845-240-798+,5,Y,,,
1,PP,1,R/L,+407-061-845-240-798+,5,Y,,,
1,PP,1,R/L,+740-773-220-032+,4,Y,,,
1,PP,1,R/L,+740-222-233-235+,4,Y,,,
1,2L,2,R/L,+740-222-233-235/617-142-001-368-861+,9,Y,,,
1,PP,1,R/L,+617-142-001-368-861+,5,Y,,,
3,PP,1,R/L,+740-222-233-235+,4,Y,,,
1,SS,1,R/L,+617-142-597-032-905+,5,Y,,,
1,SS,1,R/L,+617-142-597-032-905+,5,Y,,,
1,2L,2,R/L,+617-142-597-032-905/407-004-002-365-460-495+,11,Y,,,
1,SS,1,R/L,+740-388-585-017+,4,Y,,,
1,SS,1,R/L,+740-388-585-017+,4,Y,,,
1,SS,1,R/L,+740-388-585-017+,4,Y,,,
1,PP,1,R/L,+740-900-850-407-061-845-806+,7,Y,,,
1,PP,1,R/L,+740-900-850-407-061-845-806+,7,Y,,,
1,PP,1,R/L,+740-900-850-407-061-845-806+,7,Y,,,
1,PP,1,R/L,+740-900-850-407-061-845-806+,7,Y,,,
1,PP,1,R/L,+740-900-850-407-061-845-806+,7,Y,,,
1,PP,1,R/L,+740-900-850-407-061-845-806+,7,Y,,,
1,UC,1,,+753+,1,Y,Indefinable,Indefinable,
3,LC,1,R/L,+407-321-407-845-033-706-235+,7,Y,,,
1,UC,1,R/L,+740-384-233-806+,4,Y,,,
3,UC,1,,+749+,1,Y,Indefinable,Indefinable,
1,UC,1,,]806[,1,?,Indefinable,Indefinable,
1,UC,1,,+781+,1,Y,Indefinable,Indefinable,
3,PP,1,L/R,+408-032-520-095-585-017-220+,7,Y,,,
1,SS,1,R/L,]090-520-032-408+,4,?,,,
3,UC,1,R/L,+000-797[,2,N,,,
1,PP,1,R/L,+740-900-850-407-061-845-806+,7,Y,,,
3,UC,1,,+781+,1,Y,Indefinable,Indefinable,
1,PP,1,R/L,+740-900-850-407-845-806+,6,Y,,,
3,UC,1,,+777+,1,Y,Indefinable,Indefinable,
1,PP,1,R/L,+740-900-850-407-061-845-806+,7,Y,,,
3,UC,1,,+777+,1,Y,Indefinable,Indefinable,
1,UC,1,,+841+,1,Y,Indefinable,Indefinable,
3,PP,1,R/L,+740-405-590-220-003+,5,Y,Linear,Equal,
1,UC,1,,+957+,1,Y,Indefinable,Indefinable,
3,PP,1,R/L,+740-100-904-033-705-231-798+,7,Y,,,
1,UC,1,,+354+,1,Y,Indefinable,Indefinable,
1,UC,1,R/L,+740-220-000+,3,N,,,
1,SS,1,L/R,+740-035[,2,?,,,
1,UC,1,R/L,+840-032+,2,Y,,,
1,UC,1,,+515+,1,Y,Indefinable,Indefinable,
1,PP,1,R/L,]033-706-233-220-001-820+,6,?,Linear,Equal,
1,LP,1,R/L,+740-760-175-176-220-415-798-002-299-530-820+,11,Y,Linear,Equal,
1,SC,1,R/L,+190-125-575+,3,Y,Strong linear,Equal,
1,UC,1,R/L,+740-176-741-435-255-000-000[,7,N,Linear,Indefinable,
1,2L,2,R/L,+842-374-125/740-803-060-692-740-690-435-255-060-692+,13,Y,Partly linear,Unequal,
1,SC,1,R/L,+617-243-741-615-440-220+,6,Y,Partly linear,Unequal,
1,LP,1,R/L,+740-560-233-002-291-690-564+,7,Y,Linear,Equal,
1,LP,1,R/L,+679-740-176-240-798-002-861+,7,Y,Strong linear,Equal,
1,LP,1,R/L,+520-033-706-240-220-032-368-263+,8,Y,Strong linear,Equal,
1,UC,1,R/L,]000-220-415-798-746-442-556+,7,N,Strong linear,Equal,
