,class,lines,direction,text,signs,complete,alignment,sign height,images
1,SS,1,L/R,+410-017+,2,Y,Unordered,Unequal,
1,SS,1,L/R,+410-017+,2,Y,,,
1,SC,1,L/R,+405-017+,2,Y,,,
1,??,1,,+220-000+,2,N,,,
1,UC,1,R/L,+740-235+,2,Y,,,
1,SS,1,R/L,+740-390-590+,3,Y,Strong linear,Equal,
1,SC,1,R/L,+368-390-125-033+,4,Y,Linear,Equal,
1,PP,1,R/L,+740-904-033-705-235+,5,Y,Linear,Equal,
1,LP,1,R/L,+740-017-495-235-741-066+,6,Y,Linear,Equal,
1,SS,1,R/L,+156-460-510+,3,Y,Linear,Unequal,
1,SC,1,R/L,+072-170-740-840-013+,5,Y,Linear,Unequal,
1,2L,2,R/L,+740-142-000/000-388-000+,6,N,Linear,Unequal,
1,UC,1,R/L,+740-440-503-002-861-000+,6,N,,,
1,UC,1,,]000-004-455+,3,N,,,
1,??,1,,]000-415+,2,N,,,
1,UC,1,L/R,+390-415+,2,Y,Linear,Equal,
1,SS,1,L/R,+390-034+,2,Y,,,
1,PP,1,R/L,+405-844-032-840-002-861+,6,Y,,,
1,LC,1,R/L,+226-003-002-297-350-125-413+,7,Y,Linear,Unequal,
1,SC,1,R/L,+390-717-061-002-368-634+,6,Y,Linear,Adapted,
1,UC,1,R/L,+000-388-233-000-000+,5,N,Linear,Equal,
1,SC,1,R/L,+527-554-298-368-634+,5,Y,Linear,Unequal,
1,UC,1,R/L,+750-790-000+,3,N,,,
1,NU,1,,+415+,1,Y,Indefinable,Indefinable,
1,SS,1,R/L,+740-482+,2,Y,,,
1,UC,1,R/L,+520-001+,2,Y,Indefinable,Indefinable,
1,LP,1,R/L,+090-740-220-002-368-550-821+,7,Y,Partly linear,Unequal,
1,SS,1,R/L,+220-014+,2,Y,Linear,Equal,
1,UC,1,R/L,+740-797+,2,Y,Linear,Equal,
1,SS,1,R/L,+002-817+,2,Y,Linear,Equal,
1,SS,1,R/L,+002-817+,2,Y,Linear,Equal,
1,SS,1,R/L,+740-061+,2,Y,Linear,Equal,
1,SS,1,R/L,+390-004+,2,Y,Linear,Equal,
1,NU,1,,+007+,1,Y,Indefinable,Indefinable,
1,UC,1,,+411+,1,Y,Indefinable,Indefinable,
1,SS,1,R/L,+002-817+,2,Y,Linear,Indefinable,
1,SC,1,R/L,+236-002-308-090+,4,Y,Partly linear,Equal,
1,UC,1,R/L,]000-002-861+,3,N,Unordered,Unequal,
1,UC,1,R/L,+740-803+,2,Y,Linear,Equal,
1,SP,1,R/L,+426-003-060-692+,4,Y,Linear,Equal,
1,??,1,T/B,+520-220-002[,3,?,Indefinable,Unequal,
1,UC,1,,]906-090-000-158-900-380-484-900+,8,N,,,
1,2L,2,,+000-000/000-031-700+,5,N,,,
1,SC,1,,+374-308-350+,3,Y,,,
1,UC,1,,+748[,1,?,Indefinable,Indefinable,
1,??,1,,+740-000[,2,N,,,
1,UC,1,,+234+,1,Y,Indefinable,Indefinable,
1,??,1,,+700-000+,2,N,,,
1,UC,1,T/B,+000-000-000+,3,N,,,
1,SS,1,L/R,+390-003-003+,3,Y,Linear,Indefinable,
1,NU,1,,+006+,1,Y,Indefinable,Indefinable,
1,SP,1,R/L,+236-002-820+,3,Y,Linear,Equal,
