,class,lines,direction,text,signs,complete,alignment,sign height,images
1,UC,1,R/L,+400-090[,2,?,,,
3,UC,1,,]000[,1,N,Indefinable,Indefinable,
1,VN,1,R/L,+700-033+,2,Y,,,
3,PP,1,R/L,+400-236-220+,3,Y,,,
1,VN,1,R/L,+700-034+,2,Y,,,
3,SS,1,R/L,+090-740-792+,3,Y,,,
1,VN,1,R/L,+700-032+,2,Y,,,
3,PP,1,L/R,+400-740-176-240+,4,Y,,,
1,UC,1,,]000+,1,N,Indefinable,Indefinable,
3,UC,1,R/L,+400-520[,2,?,,,
1,VN,1,R/L,+700-033+,2,Y,,,
3,UC,1,R/L,+740-000-031+,3,N,,,
5,UC,1,R/L,+740-630-000+,3,N,,,
1,??,1,R/L,+740-000[,2,N,Linear,Unequal,
3,UC,1,R/L,+400-740[,2,?,Linear,Unequal,
1,UC,1,,+700[,1,?,Indefinable,Indefinable,
3,UC,1,R/L,+400-740-000[,3,N,,,
1,AN,1,,+144+,1,Y,Indefinable,Indefinable,
3,VN,1,R/L,+700-033+,2,Y,,,
1,UC,1,,+700-000[,2,N,,,
3,UC,1,,]000-900+,2,N,,,
1,PP,1,R/L,+740-803-060-550+,4,Y,,,
1,??,1,,]000+,1,N,Indefinable,Indefinable,
3,UC,1,R/L,+740-000[,2,N,,,
1,NV,1,,+034-700+,2,Y,,,
3,UC,1,,]861-416+,2,?,,,
1,UC,1,,]000-090+,2,N,,,
1,UC,1,,+700-000+,2,N,,,
3,UC,1,,+000-000+,2,N,,,
1,VN,1,L/R,+700-032+,2,Y,,,
3,UC,1,L/R,+511-032-142+,3,Y,,,
1,UC,1,,+390+,1,Y,Indefinable,Indefinable,
1,??,1,,+390-000+,2,N,,,
1,UC,1,R/L,+031-893+,2,Y,,,
1,UC,1,R/L,+861-003+,2,Y,,,
3,VN,1,R/L,+700-034+,2,Y,,,
5,SS,1,R/L,+156-003+,2,Y,,,
1,UC,1,R/L,+590-032-000[,3,N,,,
3,ZN,1,R/L,]220-415+,2,Y,,,
1,UC,1,R/L,+032-700-601+,3,Y,,,
3,UC,1,R/L,+408-817-920-002-861+,5,Y,,,
1,VN,1,R/L,+700-034+,2,Y,,,
3,SS,1,R/L,+156-176+,2,Y,,,
1,VN,1,R/L,+700-034+,2,Y,,,
3,SS,1,R/L,+156-176+,2,Y,,,
1,VN,1,R/L,+700-033+,2,Y,,,
3,UC,1,R/L,+368-091+,2,Y,,,
1,PP,1,R/L,+161-097-741-140+,4,Y,Strong linear,Equal,
1,SC,1,R/L,+712-840-400-740-440+,5,Y,,,
1,UC,1,,+868[,1,?,Indefinable,Indefinable,
1,UC,1,R/L,+400-740-000[,3,N,,,
3,UC,1,R/L,]690-687+,2,?,,,
1,UC,1,,]000+,1,N,Indefinable,Indefinable,
3,UC,1,R/L,+400-000[,2,N,,,
1,VN,1,R/L,+700-034+,2,Y,,,
3,UC,1,R/L,+400-154-690+,3,Y,,,
1,UC,1,R/L,+400-740[,2,?,Linear,Equal,
3,UC,1,R/L,+740-336[,2,?,Linear,Equal,
1,??,1,,]000[,1,N,Indefinable,Indefinable,
3,UC,1,,]700+,1,?,Indefinable,Indefinable,
