,class,lines,direction,text,signs,complete,alignment,sign height,images
1,??,1,,]003-000+,2,N,,,
1,UC,1,R/L,+534-556+,2,Y,,,
1,SS,1,R/L,+405-003+,2,Y,Linear,Equal,
1,??,1,R/L,+550-000+,2,N,,,
1,NV,1,R/L,+032-700+,2,Y,,,
3,??,1,R/L,+400-740-000-832-000+,5,N,,,
1,PP,1,R/L,+400-740-405-590-235-806[,6,?,Linear,Equal,
1,VN,1,R/L,+700-034+,2,Y,,,
3,UC,1,R/L,+151-740-221+,3,Y,,,
1,UC,1,R/L,]000-032-002-820+,4,N,Linear,Unequal,
1,VN,1,R/L,+700-034+,2,Y,,,
3,PP,1,R/L,+151-740-222+,3,Y,,,
1,VN,1,R/L,+700-034+,2,Y,,,
3,PP,1,R/L,+151-740-222+,3,Y,,,
1,VN,1,R/L,+700-004+,2,Y,,,
3,PP,1,R/L,+520-070-255-832+,4,Y,,,
1,UC,1,,+700[,1,?,Indefinable,Indefinable,
1,??,1,R/L,+740-033-000-335-575-413+,6,N,,,
3,PP,1,R/L,+400-527-550-033-705-240+,6,Y,,,
1,PP,1,R/L,+740-061-002-455-420-032+,6,Y,Partly linear,Unequal,
1,UC,1,R/L,+171-067+,2,Y,,,
1,VN,1,R/L,+700-033+,2,Y,,,
3,UC,1,R/L,+520-240+,2,Y,,,
1,NV,1,R/L,+033-700+,2,Y,,,
3,SS,1,R/L,+740-690-435-255+,4,Y,,,
1,??,1,R/L,+520-220-415-000[,4,N,,,
3,??,1,R/L,]000-220[,2,N,,,
1,VN,1,R/L,+700-034+,2,Y,,,
3,SS,1,R/L,+002-861-416+,3,Y,,,
1,VN,1,R/L,+700-032+,2,Y,,,
3,MS,1,R/L,+390-004-155-390+,4,Y,,,
1,SS,1,R/L,+400-098+,2,Y,,,
1,UC,1,L/R,]292-596[,2,?,Linear,Equal,
1,UC,1,R/L,+000-335-000-090-480+,5,N,,,
1,UC,1,,]233-554-435[,3,?,,Unequal,
1,UC,1,,+000-000-014+,3,N,,,
1,UC,1,,]000-745[,2,N,,,
1,PP,1,R/L,+400-520-233+,3,Y,,,
1,UC,1,R/L,+740-032[,2,?,,Unequal,
1,ZN,1,,+942+,1,Y,Indefinable,Indefinable,
1,UC,1,,+002+,1,Y,Indefinable,Indefinable,
1,SS,1,R/L,+156-140+,2,Y,Linear,Equal,
1,UC,1,,+552[,1,?,Indefinable,Indefinable,
1,UC,1,R/L,+861-705-590+,3,Y,,,
3,UC,1,R/L,+700-034-400-525-550+,5,Y,,,
1,PP,1,R/L,+090-740-101-031+,4,Y,,,
1,UC,1,R/L,+400-740-637+,3,Y,,,
1,SS,1,R/L,+740-032-840+,3,Y,,,
3,SS,1,R/L,+740-032-840+,3,Y,,,
