,class,lines,direction,text,signs,complete,alignment,sign height,images
1,UC,1,R/L,]000-060-692+,3,N,Linear,Unequal,
1,UC,1,R/L,+000-000-220-032+,4,N,Linear,Equal,
1,NU,1,,+032+,1,Y,Indefinable,Indefinable,
1,NU,1,,+032+,1,Y,Indefinable,Indefinable,
1,UC,1,R/L,+740-176+,2,Y,,,
1,UC,1,,+740+,1,Y,Indefinable,Indefinable,
1,SP,1,R/L,+520-220-240-803-002-820+,6,Y,Partly linear,Unequal,
1,PP,1,R/L,+740-460-510-220-065-393+,6,Y,Linear,Unequal,
1,UC,1,R/L,]000-532-297-000[,4,N,Linear,Equal,
1,PP,1,R/L,+390-015-002-861+,4,Y,Partly linear,Unequal,
1,SP,1,R/L,+520-220-016-002-416-000+,6,N,Linear,Increasing,
1,SS,1,R/L,+740-032-840+,3,Y,,,
1,SC,1,R/L,+520-072-921+,3,Y,Linear,Equal,
1,SP,1,R/L,+520-220-803-741-262+,5,Y,Linear,Adapted,
1,SS,1,R/L,+740-803+,2,Y,Linear,Equal,
1,2L,2,R/L,+832-390-032/000-032-740-002-820+,8,N,Unordered,Unequal,
1,SP,1,R/L,+520-220-003-741-060-920+,6,Y,Partly linear,Unequal,
1,SC,1,R/L,+400-125-745+,3,Y,Linear,Equal,
1,UC,1,,+000-000-220+,3,N,,,
1,UC,1,R/L,+740-100-240[,3,?,Linear,Equal,
1,SS,1,R/L,+740-752-615-503+,4,Y,,,
1,2L,2,R/L,+906-200/740-100-415-033-702+,7,Y,Partly linear,Unequal,
1,SS,1,R/L,+740-615-503+,3,Y,,,
1,PP,1,R/L,+407-585-033-705-233-235-806+,7,Y,,,
1,PP,1,R/L,+151-097-232-416+,4,Y,Strong linear,Equal,
1,SS,1,R/L,+740-752+,2,Y,,,
1,LP,1,R/L,+520-033-706-233-002-817-192-000+,8,N,Strong linear,Equal,
1,VN,1,R/L,+151-097-700-034+,4,Y,,,
1,PP,1,R/L,+406-072-002-817+,4,Y,,,
1,PP,1,R/L,+740-798-000[,3,N,Linear,Unequal,
1,SS,1,R/L,+527-556+,2,Y,,,
1,SC,1,R/L,+001-368-861-255-371+,5,Y,Linear,Equal,
1,SC,1,R/L,+717-032-521+,3,Y,Strong linear,Equal,
1,LC,1,R/L,+298-465-033-705-231-002-564-617-033+,9,Y,Linear,Equal,
1,SP,1,R/L,+740-773-240-235-060-692+,6,Y,Linear,Equal,
1,SC,1,R/L,+820-880-065-244+,4,Y,Strong linear,Equal,
1,LP,1,R/L,+407-845-140-740-101-923-240-002-861+,9,Y,Strong linear,Equal,
1,SC,1,R/L,+706-140-632+,3,Y,Strong linear,Equal,
