,class,lines,direction,text,signs,complete,alignment,sign height,images
1,SP,1,R/L,+740-000-031-000-820+,5,N,Linear,Indefinable,
1,LP,1,R/L,+740-440-233-002-413-368-031+,7,Y,Linear,Equal,
1,SC,1,R/L,+368-005-002-590-455+,5,Y,Partly linear,Adapted,
1,UC,1,,+530+,1,Y,Indefinable,Indefinable,
1,UC,1,R/L,+455-922+,2,Y,Linear,Unequal,
3,UC,1,R/L,+400-804+,2,Y,Linear,Unequal,
1,LC,1,R/L,+740-903-850-033-706-235+,6,Y,Linear,Equal,
1,SP,1,R/L,+740-100-000-002-820+,5,N,Linear,Equal,
1,UC,1,R/L,+155-806-468+,3,Y,Linear,Equal,
1,UC,1,R/L,+527-555-233-235[,4,?,Linear,Equal,
1,UC,1,R/L,]220-415+,2,?,Linear,Equal,
1,LP,1,R/L,+740-575-017-233-550-002-861+,7,Y,Linear,Equal,
1,UC,1,R/L,+740-923-013-820+,4,Y,Linear,Equal,
1,UC,1,R/L,]625-140+,2,?,Linear,Equal,
1,UC,1,R/L,]740-328-240[,3,?,,,
1,UC,1,R/L,+790-005-956+,3,Y,,,
1,UC,1,R/L,+740-900-005-002-570+,5,Y,,,
1,SS,1,R/L,+095-031-740-927+,4,Y,,,
3,SS,1,R/L,+740-927+,2,Y,,,
1,UC,1,R/L,+000-740-227-220-000[,5,N,Linear,Equal,
1,UC,1,R/L,]000-220-832-002-000-000[,6,N,,,
1,UC,1,R/L,+740-442[,2,?,,,
1,UC,1,R/L,+455-066-942-090+,4,Y,,,
3,UC,1,R/L,+740-585-803-240+,4,Y,,,
1,UC,1,R/L,+000-060-692+,3,N,,,
1,UC,1,R/L,+136-140-861-455-922+,5,Y,,,
1,MS,1,R/L,+740-923-033-706+,4,Y,,,
1,UC,1,R/L,+740-752-000-503+,4,N,,,
1,SS,1,R/L,+740-752-615-503+,4,Y,,,
1,UC,1,R/L,+420-000+,2,N,,,
1,UC,1,R/L,+407-061-845-000-000+,5,N,,,
1,UC,1,R/L,+000-142-597-032-905+,5,N,,,
1,PP,1,R/L,+740-900-850-407-061-845-806+,7,Y,,,
1,SC,1,R/L,+002-407-125-590-831+,5,Y,,,
1,??,1,R/L,+400-740-636-240+,4,Y,,Unequal,
3,UC,1,R/L,+700-125+,2,Y,,Unequal,
1,UC,1,R/L,+840-705+,2,Y,,,
1,UC,1,R/L,+740-482-838+,3,Y,,,
1,PP,1,R/L,+820-000-032-740-904-002-861+,7,N,,,
1,UC,1,R/L,+000-035-032+,3,N,,,
1,SS,1,R/L,+400-740-176+,3,Y,,,
1,UC,1,,]390+,1,?,Indefinable,Indefinable,
1,UC,1,R/L,+018-000+,2,N,,,
1,SC,1,R/L,+723-066-828+,3,Y,Linear,Equal,
1,UC,1,R/L,+740-482-838+,3,Y,,,
1,UC,1,R/L,+400-740-760-000-000+,5,N,,,
1,UC,1,R/L,+400-000-220-415+,4,N,,,
1,UC,1,R/L,]226-415-798[,3,?,Slanting linear,Unequal,
1,UC,1,R/L,+400-000-220-415+,4,N,,,
1,UC,1,R/L,+000-000-095-550-003-002-000+,7,N,,,
1,UC,1,R/L,+742-031-090[,3,?,,,
1,SC,1,R/L,+041-705-002-905+,4,Y,,,
1,UC,1,,]400[,1,?,Indefinable,Indefinable,
1,UC,1,,]400[,1,?,Indefinable,Indefinable,
1,UC,1,R/L,]740-000[,2,N,,,
1,UC,1,R/L,+400-000[,2,N,,,
1,SS,1,R/L,+400-156-435-255+,4,Y,,,
3,SC,1,R/L,+868-706-590+,3,Y,,,
1,UC,1,R/L,]000-255[,2,N,,,
3,UC,1,,]000-000[,2,N,,,
1,UC,1,,]817[,1,?,Indefinable,Indefinable,
1,UC,1,R/L,]171-000[,2,N,,,
3,UC,1,,]000[,1,N,,,
1,PP,1,R/L,+400-740-760-220-416+,5,Y,,,
3,SC,1,R/L,+220-700-004+,3,Y,,,
1,UC,1,,]617-000[,2,N,,,
3,UC,1,,]000-033[,2,N,,,
1,NU,1,,+033[,1,?,Indefinable,Indefinable,
3,UC,1,,]000-000[,2,N,Indefinable,Indefinable,
1,SP,1,R/L,+740-061-001-031-820+,5,Y,,,
3,VN,1,R/L,+700-033+,2,Y,,,
1,UC,1,,]740[,1,?,Indefinable,Indefinable,
1,UC,1,,+740[,1,?,Indefinable,Indefinable,
1,SS,1,R/L,]740-176[,2,?,,,
3,VN,1,R/L,]700-032[,2,?,,,
1,UC,1,R/L,]000-840-000+,3,N,,,
3,VN,1,R/L,+700-000[,2,N,,,
1,UC,1,R/L,+740-000[,2,N,,,
3,UC,1,,+000[,1,N,Indefinable,Indefinable,
1,VN,1,R/L,]700-032[,2,?,,,
3,UC,1,R/L,]000-000[,2,N,,,
1,UC,1,R/L,+368-000+,2,N,,,
3,VN,1,R/L,+700-033+,2,Y,,,
1,UC,1,R/L,+400-740[,2,?,,,
3,UC,1,,]000+,1,N,Indefinable,Indefinable,
1,VN,1,R/L,+700-032+,2,Y,,,
3,UC,1,,+000[,1,N,Indefinable,Indefinable,
1,UC,1,L/R,+520-220-415+,3,Y,,,
3,VN,1,L/R,+700-034+,2,Y,,,
1,UC,1,R/L,+400-000[,2,N,,,
3,UC,1,,]000+,1,N,Indefinable,Indefinable,
1,UC,1,R/L,]000-390-590[,3,N,,,
3,UC,1,R/L,]000-033+,2,N,,,
1,UC,1,R/L,+400-678+,2,Y,,,
3,VN,1,R/L,+700-032+,2,Y,,,
1,UC,1,L/R,+400-740-176+,3,Y,,,
3,VN,1,R/L,+700-033+,2,Y,,,
1,VN,1,R/L,+700-033+,2,Y,,,
3,??,1,,+000-000-000+,3,N,,,
1,NU,1,,]034[,1,?,Indefinable,Indefinable,
1,UC,1,,+740[,1,?,Indefinable,Indefinable,
1,UC,1,L/R,+400-740-176+,3,Y,,,
3,NV,1,R/L,+700-033+,2,Y,,,
1,UC,1,R/L,+400-000-705+,3,N,,,
3,UC,1,R/L,+000-000+,2,N,,,
1,UC,1,R/L,+400-740[,2,?,,Unequal,
3,NU,1,,]033[,1,?,Indefinable,Indefinable,
1,UC,1,,+740+,1,Y,Indefinable,Indefinable,
1,SS,1,R/L,+740-840-000+,3,N,,,
3,VN,1,R/L,+700-032+,2,Y,,,
1,SS,1,R/L,+400-098+,2,Y,,,
1,UC,1,R/L,+740-000+,2,N,,,
1,??,1,R/L,+090-740-220+,3,Y,,,
1,SS,1,R/L,+400-740-176+,3,Y,,,
3,VN,1,R/L,+700-033+,2,Y,,,
1,SS,1,R/L,+400-740-176+,3,Y,,,
3,VN,1,R/L,+700-033+,2,Y,,,
1,SS,1,R/L,+400-740-176+,3,Y,,,
3,VN,1,R/L,+700-033+,2,Y,,,
1,SS,1,R/L,+400-740-176+,3,Y,,,
3,VN,1,R/L,+700-033+,2,Y,,,
1,SS,1,R/L,]740-176+,2,?,,,
3,VN,1,R/L,+700-033+,2,Y,,,
1,??,1,R/L,+226-032+,2,Y,,,
1,UC,1,R/L,+740-690-000-000+,4,N,,,
1,NU,1,,]036+,1,?,Indefinable,Indefinable,
1,UC,1,,+000[,1,N,Indefinable,Indefinable,
1,UC,1,,+540+,1,Y,Indefinable,Indefinable,
1,UC,1,R/L,+000-999-000-367-000[,4,N,,,
1,UC,1,R/L,]140-000-999-405-090[,4,N,,,
1,UC,1,R/L,+480-003-031+,3,Y,,,
1,NU,1,,+035[,1,?,Indefinable,Indefinable,
1,NU,1,,+035[,1,?,Indefinable,Indefinable,
1,NU,1,,]035+,1,?,Indefinable,Indefinable,
1,NU,1,,+032+,1,Y,Indefinable,Indefinable,
1,NU,1,,+033+,1,Y,Indefinable,Indefinable,
1,NU,1,,+033[,1,?,Indefinable,Indefinable,
1,NU,1,,+033+,1,Y,Indefinable,Indefinable,
1,NU,1,,+033+,1,Y,Indefinable,Indefinable,
1,NU,1,,+032+,1,Y,Indefinable,Indefinable,
1,NU,1,,+031+,1,Y,Indefinable,Indefinable,
1,UC,1,,+220+,1,Y,Indefinable,Indefinable,
1,NU,1,R/L,]036-029[,2,?,,,
1,UC,1,R/L,]000-291-740[,3,N,,,
1,UC,1,R/L,]000-740-000[,3,N,,,
1,UC,1,R/L,+740-406-000[,3,N,,,
1,SC,1,R/L,]408-070-032+,3,?,,,
1,UC,1,R/L,+405-070-000[,3,N,,,
1,UC,1,R/L,+032-000+,2,N,,,
1,UC,1,,]818[,1,?,Indefinable,Indefinable,
1,??,1,R/L,]425-820[,2,?,,,
1,VN,1,R/L,+700-900-004[,3,?,,,
1,UC,1,R/L,+400-527[,2,?,,,
1,??,1,R/L,+740-335[,2,?,,,
1,??,1,R/L,]000-407[,2,N,,,
1,SS,1,R/L,]002-861+,2,?,,,
1,UC,1,R/L,+480-000[,2,N,,,
1,UC,1,R/L,+482-033+,2,Y,,,
1,AN,1,,+090+,1,Y,Indefinable,Indefinable,
1,UC,1,,+892+,1,Y,Indefinable,Indefinable,
1,UC,1,,]435+,1,?,Indefinable,Indefinable,
1,UC,1,R/L,]520+,1,?,,,
1,UC,1,T/B,+530[,1,?,,,
1,UC,1,,+740[,1,?,Indefinable,Indefinable,
1,UC,1,,+740+,1,Y,Indefinable,Indefinable,
1,UC,1,,]220+,1,?,Indefinable,Indefinable,
1,NU,1,,]034+,1,?,Indefinable,Indefinable,
1,NU,1,,+034+,1,Y,Indefinable,Indefinable,
1,NU,1,,+033+,1,Y,Indefinable,Indefinable,
1,NU,1,,]037[,1,?,Indefinable,Indefinable,
1,NU,1,,+033+,1,Y,Indefinable,Indefinable,
1,SC,1,R/L,+413-530+,2,Y,,,
1,SS,1,R/L,+740-554+,2,Y,,,
1,UC,1,,+892+,1,Y,Indefinable,Indefinable,
1,UC,1,,+390+,1,Y,Indefinable,Indefinable,
1,UC,1,R/L,+930-632[,2,?,,,
1,SC,1,R/L,+645-003-900+,3,Y,,,
1,NU,1,T/B,+003-904+,2,Y,,,
1,UC,1,R/L,+645-000[,2,N,,,
1,UC,1,,+717[,1,?,Indefinable,Indefinable,
1,UC,1,,]740[,1,?,Indefinable,Indefinable,
1,LP,1,R/L,+740-690-435-255-002-267-000-033+,8,N,Linear,Adapted,
1,SS,1,R/L,+520-033-033+,3,Y,Linear,Unequal,
1,??,1,R/L,+740-760-000-000[,4,N,,,
1,??,1,R/L,+455-600-000-000-033+,5,N,Partly linear,Unequal,
1,??,1,R/L,+000-165-832-000+,4,N,,,
1,SC,1,R/L,+520-073+,2,Y,Linear,Equal,
1,PP,1,R/L,]240-803-002-861+,4,N,Linear,Adapted,
1,LP,1,R/L,+740-390-590-125-220-235-002-285+,8,Y,Linear,Adapted,
1,SP,1,R/L,+520-000-002-820+,4,N,,,
3,UC,1,R/L,+000-000-002-820+,4,N,,,
1,UC,1,R/L,+326-000[,2,N,,,
1,UC,1,R/L,+000-000-000[,3,N,,,
1,??,1,R/L,+368-005-740-060-920+,5,Y,Partly linear,Unequal,
1,UC,1,R/L,+740-000[,2,N,Indefinable,Indefinable,
1,MS,1,R/L,+064-004-002-001-740-176+,6,Y,Linear,Equal,
1,??,1,R/L,+740-760-001-233+,4,Y,Linear,Adapted,
1,UC,1,R/L,+400-125-000+,3,N,Linear,Equal,
1,??,1,L/R,+423-003-001-423-002-031-104+,7,Y,Linear,Equal,
1,SS,1,R/L,+740-840-416+,3,Y,Strong linear,Equal,
1,UC,1,R/L,+776-440-003-421+,4,Y,,,
1,SS,1,R/L,+520-033-706+,3,Y,Linear,Equal,
1,UC,1,R/L,+840-527-002-000+,4,N,Linear,Equal,
1,UC,1,R/L,+031-055-000[,3,N,,,
1,UC,1,L/R,]000-520-220-032+,4,N,,,
1,UC,1,R/L,]000-000-000-032-840-000+,6,N,Partly linear,Increasing,
