,class,lines,direction,text,signs,complete,alignment,sign height,images
1,UC,1,R/L,+520-220[,2,?,Linear,Equal,
1,SS,1,R/L,+520-400-350-031+,4,Y,Linear,Unequal,
1,UC,1,R/L,]482-520-033-705[,4,?,Linear,Equal,
1,UC,1,R/L,+740-390-590[,3,?,Linear,Equal,
1,UC,1,R/L,+000-003-001-159[,4,N,Linear,Equal,
1,UC,1,R/L,+740-405-000[,3,N,Linear,Equal,
1,UC,1,R/L,+151-097[,2,?,Indefinable,Indefinable,
1,UC,1,R/L,+151-097[,2,?,Linear,Equal,
1,??,1,R/L,+156-000[,2,N,Linear,Unequal,
1,UC,1,R/L,+740-717[,2,?,Indefinable,Indefinable,
1,UC,1,R/L,+520-033-706-031+,4,Y,Linear,Unequal,
1,UC,1,,]156[,1,?,Indefinable,Indefinable,
1,??,1,,+740-000[,2,N,,,
1,SC,1,R/L,+820-816-595[,3,?,Strong linear,Equal,
1,??,1,R/L,]156-000[,2,N,Linear,Indefinable,
1,UC,1,R/L,+226-002-000[,3,N,Linear,Indefinable,
1,UC,1,R/L,+000-772-000-000[,4,N,Indefinable,Indefinable,
1,PP,1,R/L,+740-335-002-630[,4,?,,,
1,PP,1,R/L,+090-740-035-171-061+,5,Y,Partly linear,Unequal,
1,UC,1,,]220[,1,?,Indefinable,Indefinable,
1,UC,1,,]220[,1,?,Indefinable,Indefinable,
1,UC,1,R/L,+832-904-000-000[,4,N,,,
1,UC,1,R/L,+740-032-840-240-220-032-000[,7,N,Partly linear,Equal,
1,UC,1,,]861[,1,?,Indefinable,Indefinable,
1,??,1,,+000-585-000[,3,N,Indefinable,Indefinable,
1,UC,1,,]000-235-870+,3,N,Linear,Equal,
1,UC,1,R/L,]000-803-002-820+,4,N,Linear,Equal,
1,UC,1,R/L,+740-784-004-000[,4,N,Linear,Equal,
1,UC,1,R/L,]742-060[,2,?,,,
1,UC,1,R/L,+000-435-255-060-368-000[,6,N,Linear,Equal,
1,SP,1,R/L,+740-269-511-060-690+,5,Y,Linear,Equal,
1,UC,1,,+585-220-000[,3,N,Linear,Equal,
1,UC,1,R/L,+400-137+,2,Y,Linear,Equal,
1,SS,1,R/L,+740-877-032+,3,Y,Linear,Unequal,
1,SC,1,R/L,+740-900-005-033+,4,Y,Strong linear,Equal,
1,SC,1,R/L,+400-221-031-741+,4,Y,Linear,Equal,
1,PP,1,R/L,+740-575-017-220-415-803+,6,Y,Linear,Equal,
1,LP,1,R/L,+740-760-235-240-002-220-000[,7,N,Partly linear,Unequal,
1,UC,1,R/L,+151-717-741-590-000[,5,N,Partly linear,Equal,
1,UC,1,L/R,+390-003+,2,Y,Linear,Equal,
1,LP,1,R/L,+740-390-590-070-032-002-861+,7,Y,Linear,Equal,
3,LP,1,R/L,+740-390-590-070-032-002-861+,7,Y,Linear,Equal,
1,UC,1,,+822+,1,Y,Indefinable,Indefinable,
3,LP,1,R/L,+740-639-240-002-435-255-777+,7,Y,Linear,Equal,
1,PP,1,R/L,+740-760-512-495-741[,5,?,Linear,Equal,
1,SC,1,R/L,+002-368-260+,3,Y,Linear,Unequal,
1,PP,1,R/L,+740-717-233-220-032+,5,Y,Linear,Equal,
1,UC,1,,+832-904-001+,3,Y,Linear,Equal,
1,2L,2,R/L,+550/740-142-000+,4,N,Partly linear,Unequal,
1,UC,1,,+740-000-000+,3,N,Linear,Unequal,
1,2L,2,R/L,+530/140-220+,3,Y,Unordered,Unequal,
1,UC,1,R/L,]798-233-231-002-817-000+,6,N,Linear,Equal,
1,UC,1,R/L,+000-240-741-142+,4,N,Linear,Equal,
1,PP,1,R/L,+527-550-002-125-590+,5,Y,Linear,Unequal,
1,SP,1,R/L,+740-615-495-002-825+,5,Y,Linear,Unequal,
3,SP,1,R/L,+740-892-590-893-001-615+,6,Y,Partly linear,Equal,
1,UC,1,,+233-645+,2,Y,Unordered,Unequal,
1,UC,1,R/L,+407-000-000-705-832-904-845-235-002-717-747+,11,N,Linear,Equal,
1,UC,1,R/L,]220-032-002-817+,4,?,Strong linear,Equal,
1,UC,1,R/L,+405-061-740-100-503-705-000[,7,N,Linear,Equal,
1,SC,1,R/L,+001-304-354-125-812-033+,6,Y,Linear,Equal,
1,UC,1,R/L,+154-388-717-000+,4,N,Linear,Equal,
1,??,1,,]000-456+,2,N,Linear,Equal,
1,SC,1,R/L,+595-632-740-550+,4,Y,Linear,Unequal,
1,UC,1,R/L,+000-033-033-060-692+,5,N,Linear,Equal,
1,UC,1,R/L,]368-632-706-140+,4,?,Linear,Equal,
1,UC,1,R/L,+353-001-740-000[,4,N,Linear,Equal,
1,LP,1,R/L,+520-033-705-233-240-806-002-820+,8,Y,Linear,Equal,
1,UC,1,R/L,+527-550[,2,?,Linear,Equal,
1,UC,1,R/L,]031-002-861+,3,?,Linear,Equal,
1,UC,1,R/L,+740-000[,2,N,Linear,Equal,
1,UC,1,R/L,+000-000-000-000-002-820+,6,N,Linear,Indefinable,
1,UC,1,R/L,+405-061-740-806+,4,Y,Linear,Equal,
1,NU,1,,]031+,1,?,Indefinable,Indefinable,
1,SS,1,R/L,+740-215[,2,?,Linear,Equal,
1,UC,1,R/L,+407-061-231-235-000[,5,N,Linear,Equal,
1,UC,1,R/L,]900-002-817+,3,?,Linear,Equal,
1,LP,1,R/L,+407-845-140-740-233-240-798-365-263+,9,Y,Linear,Equal,
1,PP,1,R/L,+520-095-033-706-240-798+,6,Y,Linear,Equal,
1,UC,1,R/L,+740-590-017+,3,Y,Linear,Equal,
1,??,1,R/L,+740-000[,2,N,Linear,Equal,
1,UC,1,,]405-002[,2,?,Linear,Equal,
1,UC,1,R/L,]790-032+,2,?,Linear,Equal,
1,PP,1,R/L,+407-004-060-692+,4,Y,Linear,Equal,
1,SC,1,R/L,+740-007-503-626-484+,5,Y,Linear,Equal,
1,UC,1,R/L,]000-235-806-900-003-140+,6,N,Linear,Equal,
1,UC,1,R/L,+790-740+,2,Y,Linear,Equal,
1,SS,1,R/L,+740-220-032+,3,Y,Linear,Equal,
1,SS,1,R/L,+154-806-468+,3,Y,Linear,Equal,
1,UC,1,R/L,+565-806+,2,Y,Linear,Equal,
1,UC,1,R/L,+527-554-104+,3,Y,Linear,Equal,
1,UC,1,R/L,+154-806-468+,3,Y,Linear,Equal,
1,SC,1,R/L,]706-590-892-317-625+,5,?,Linear,Equal,
1,??,1,R/L,]000-142+,2,N,Linear,Equal,
1,UC,1,R/L,+740-100[,2,?,Linear,Equal,
1,UC,1,R/L,]740-904-032[,3,?,,,
1,UC,1,,]388+,1,?,Indefinable,Indefinable,
1,SP,1,R/L,+520-233-002-861-831-165+,6,Y,,,
1,UC,1,R/L,]000-407-575[,3,N,Linear,Equal,
3,UC,1,R/L,]746-407-575[,3,?,Indefinable,Indefinable,
1,UC,1,,+697-510+,2,Y,,,
1,??,1,,]000-615+,2,N,,,
1,UC,1,,]336-480-000[,3,N,Linear,Equal,
1,SP,1,R/L,+740-390-590-235-368-806+,6,Y,,,
1,SP,1,R/L,+740-390-590-235-368-806+,6,Y,,,
1,UC,1,R/L,+740-176+,2,Y,,,
1,VN,1,R/L,+700-032+,2,Y,,,
3,UC,1,R/L,+740-904-240-002-817+,5,Y,,,
1,PP,1,R/L,+400-520-233+,3,Y,,,
1,PP,1,R/L,+740-176-798-231+,4,Y,,,
1,PP,1,R/L,+740-176-798-231+,4,Y,,,
1,UC,1,R/L,]240-002-418+,3,?,Linear,,
1,VN,1,R/L,+700-033+,2,Y,,,
3,UC,1,L/R,+137-002-820+,3,Y,,,
1,VN,1,R/L,+700-033+,2,Y,,,
3,SC,1,R/L,]435-255-055+,3,?,,,
1,??,1,,+000-700+,2,N,,,
3,??,1,,]000-000-034[,3,N,,,
5,??,1,,]000-833+,2,N,,,
1,SC,1,R/L,+712-840-400-740-440+,5,Y,,,
1,PP,1,R/L,+700-033-137-002-820+,5,Y,,,
1,SS,1,R/L,]740-017-503+,3,?,,,
1,SS,1,R/L,]740-017-503+,3,?,,,
1,SS,1,R/L,+400-740-016-503+,4,Y,,,
1,SS,1,R/L,+400-740-016-503+,4,Y,,,
1,UC,1,R/L,+400-740-000+,3,N,,,
1,UC,1,R/L,]240-000+,2,N,,,
3,SS,1,R/L,+156-388[,2,?,,,
1,UC,1,,+702+,1,Y,Indefinable,Indefinable,
1,PP,1,R/L,+526-550-060-820+,4,Y,,,
1,VN,1,R/L,+700-032+,2,Y,,,
3,UC,1,R/L,+705-904+,2,Y,,,
1,SC,1,R/L,+001-480-165-900+,4,Y,,,
