,class,lines,direction,text,signs,complete,alignment,sign height,images
1,UC,1,R/L,]100-176-175+,3,?,Linear,Equal,
1,UC,1,,+416+,1,Y,Indefinable,Indefinable,
1,UC,1,R/L,+090-740-100-801-000+,5,N,,,
1,UC,1,,]240+,1,?,Indefinable,Indefinable,
3,UC,1,,+460-000[,2,N,,,
1,SP,1,R/L,+520-233-049-002-861+,5,Y,,,
1,UC,1,,+595-641+,2,Y,Linear,Equal,
1,UC,1,,]700+,1,?,Indefinable,Indefinable,
3,UC,1,,]840+,1,?,Indefinable,Indefinable,
1,SP,1,R/L,+740-100-692-491-002-817+,6,Y,,,
1,UC,1,,+440+,1,Y,Indefinable,Indefinable,
1,UC,1,,+440+,1,Y,Indefinable,Indefinable,
1,UC,1,,+167-706+,2,Y,,,
1,MS,1,R/L,+426-003-013-817+,4,Y,Linear,Equal,
1,UC,1,R/L,+400-265[,2,?,Linear,Equal,
1,UC,1,R/L,+400-740-100[,3,?,,,
1,UC,1,R/L,]700-000+,2,N,,,
1,UC,1,,+540-540+,2,Y,,,
1,UC,1,,+440+,1,Y,Indefinable,Indefinable,
1,ZN,1,R/L,+220-033+,2,Y,,,
1,VN,1,R/L,+700-034+,2,Y,,,
3,UC,1,R/L,+137-413+,2,Y,,,
1,UC,1,R/L,+740-482[,2,?,,,
3,UC,1,R/L,]235-220+,2,?,,,
1,LP,1,R/L,+740-405-590-032-900-003-806-235-220-032-002-690-921+,13,Y,Strong linear,Equal,
1,UC,1,R/L,+400-740-335-482-175+,5,Y,,,
3,VN,1,R/L,+700-032+,2,Y,,,
1,SS,1,R/L,+400-158-806-000+,4,N,,,
1,PP,1,R/L,+740-752-482-240+,4,Y,,,
3,UC,1,R/L,+700-745+,2,Y,,,
1,NV,1,R/L,+033-700+,2,Y,,,
3,SP,1,R/L,+740-803-892-031-002-861+,6,Y,,,
1,NU,1,,]033+,1,?,Indefinable,Indefinable,
3,ZN,1,R/L,]220-415+,2,?,Linear,Unequal,
1,UC,1,,+416+,1,Y,Indefinable,Indefinable,
1,UC,1,,]416+,1,?,Indefinable,Indefinable,
3,UC,1,,]861+,1,?,Indefinable,Indefinable,
1,UC,1,,+540-540+,2,Y,,,
1,UC,1,,+220[,1,N,Indefinable,Indefinable,
1,UC,1,R/L,]034-002-817[,3,N,Linear,Unequal,
1,UC,1,,+440+,1,Y,Indefinable,Indefinable,
1,ZN,1,R/L,+220-033+,2,Y,,,
