,class,lines,direction,text,signs,complete,alignment,sign height,images
1,UC,1,R/L,]000-220-032-060-766+,5,N,Partly linear,Adapted,
1,??,1,,+000-235+,2,N,Indefinable,Indefinable,
1,SC,1,R/L,+740-400-920-031+,4,Y,Linear,Unequal,
1,SP,1,R/L,+429-003-741-060-920+,5,Y,Linear,Adapted,
1,SS,1,R/L,+740-100+,2,Y,Linear,Equal,
1,UC,1,R/L,]000-031-002-817+,4,N,Linear,Equal,
1,SC,1,R/L,+151-790-031-790-495+,5,Y,Partly linear,Unequal,
1,SS,1,R/L,+156-230+,2,Y,Linear,Unequal,
1,2L,2,,+440-390-032/368-390-790+,6,Y,Linear,Equal,
1,LC,1,BUS,+129-817-310-350-128-857-003-388+,8,Y,Unordered,Unequal,
1,2L,2,R/L,+390-128-702-002/226-032-002-001-480-850+,10,Y,Partly linear,Unequal,
1,2L,2,R/L,+032-031-740-384-032/000-000-840-634-032+,10,N,Linear,Equal,
1,SC,1,R/L,+822-140-015+,3,Y,Strong linear,Equal,
1,SC,1,R/L,+375-400-390-632+,4,Y,Linear,Equal,
1,2L,2,BUS,+220-000-740/741-255+,5,N,,,
1,UC,1,R/L,+032-031-390-844-000-000-032-803-220+,9,N,,,
1,SC,1,,+031-705-167[,3,?,,,
1,UC,1,R/L,+520-515-255[,3,?,,Unequal,
1,UC,1,T/B,+220-063-706-000+,4,N,,,
1,UC,1,T/B,+909-540-540+,3,Y,,Unequal,
1,PP,1,R/L,+740-000-835-240-235-031-900-066+,8,N,,,
3,LC,1,R/L,+390-095-909-005-825-776-220-016+,8,Y,,,
1,UC,1,,+740+,1,Y,Indefinable,Indefinable,
1,LP,1,R/L,+740-920-320-233-240-001-002-817+,8,Y,Linear,Equal,
1,SC,1,,+590-407-790-440+,4,Y,Linear,Equal,
1,SC,1,,+394-032-002-892-740+,5,Y,,,
1,2L,2,BUS,+740-760-000-742-013/742-552+,7,N,Unordered,Unequal,
1,SS,1,R/L,+151-892-032+,3,Y,Linear,Unequal,
1,SS,1,R/L,+156-019+,2,Y,Linear,Equal,
1,UC,1,R/L,+093-808+,2,Y,Linear,Equal,
1,2L,2,R/L,+244-165/740-879-220-416-803-002-856+,9,Y,Strong linear,Equal,
1,SS,1,R/L,+520-460-495+,3,Y,Strong linear,Equal,
1,PP,1,R/L,+740-416-002-861+,4,Y,Linear,Equal,
1,UC,1,R/L,+520-460+,2,Y,Linear,Unequal,
1,SC,1,R/L,+154-388-717-705+,4,Y,Linear,Equal,
1,SC,1,R/L,+590-407-790-032+,4,Y,Linear,Unequal,
1,PP,1,R/L,+390-016-002-861+,4,Y,Linear,Equal,
1,SS,1,L/R,+617-142+,2,Y,Linear,Equal,
1,PP,1,R/L,+520-033-706-233+,4,Y,Linear,Equal,
1,SS,1,R/L,+740-100-407-590+,4,Y,Linear,Equal,
1,SS,1,R/L,+520-033[,2,?,,,
1,UC,1,R/L,+090-740-000[,3,N,,,
1,??,1,R/L,+740-000+,2,N,,,
1,SP,1,R/L,+000-400-350-031-002-817+,6,N,,,
1,LC,1,R/L,+798-821-001-480-850-820-388-611-820+,9,Y,,,
1,SP,1,R/L,+151-382-031-002-861+,5,Y,Linear,Unequal,
1,PP,1,R/L,]000-002-817+,3,N,Linear,Equal,
1,UC,1,,+317-817-000-090+,4,N,Unordered,Equal,
1,SC,1,R/L,]090-001-350-716+,4,?,Circular,Unequal,
1,SS,1,L/R,+240-220+,2,Y,Linear,Equal,
1,SP,1,R/L,+740-760-445+,3,Y,,,
1,SS,1,R/L,+220-032+,2,Y,Linear,Equal,
1,UC,1,R/L,]615-715+,2,N,Linear,Equal,
1,UC,1,R/L,+390-371+,2,Y,Strong linear,Equal,
3,UC,1,R/L,+390-371+,2,Y,Linear,Unequal,
1,UC,1,,+390-390+,2,Y,,,
1,UC,1,,+740+,1,Y,Indefinable,Indefinable,
1,UC,1,L/R,+400-740-900[,3,?,,,
1,SS,1,R/L,+740-923-838+,3,Y,Linear,Equal,
1,SC,1,R/L,+236-140-893-861+,4,Y,Linear,Equal,
1,UC,1,,+840+,1,Y,Indefinable,Indefinable,
1,SS,1,R/L,+617-117+,2,Y,,,
1,UC,1,,]000-615+,2,N,,,
1,ZN,1,R/L,+033-255+,2,Y,,,
3,??,1,R/L,]033-000-000+,3,N,,,
1,UC,1,,]000-032[,2,N,,,
3,UC,1,,]740-000[,2,N,,,
1,UC,1,R/L,+520-001-090-000[,4,N,,,
1,UC,1,,+031-460-000+,3,N,,,
1,UC,1,,+000-220-000+,3,N,,,
1,UC,1,,]000-803-000[,3,N,,,
1,UC,1,,+745-000[,2,N,,,
1,UC,1,,+740-000[,2,N,,,
1,UC,1,R/L,+527-740-914+,3,Y,,,
1,UC,1,,]035-705+,2,?,,,
1,UC,1,,]034-000+,2,N,,,
1,ZN,1,R/L,+220-016+,2,Y,,,
1,UC,1,R/L,]590-220-003+,3,N,Partly linear,Unequal,
1,UC,1,R/L,]220-032+,2,?,,,
1,SS,1,R/L,+235-033+,2,Y,,,
1,UC,1,,+000-055-033-033+,4,N,,,
1,UC,1,,+000-000-033+,3,N,,,
1,AN,1,,+090+,1,Y,Indefinable,Indefinable,
1,UC,1,R/L,+740-900-000-407-000-000-000+,7,N,,,
1,SS,1,R/L,+740-142+,2,Y,,,
1,UC,1,,+156+,1,Y,Indefinable,Indefinable,
1,UC,1,,+415-000-160+,3,N,,,
1,UC,1,,]000-700+,2,N,,,
3,UC,1,R/L,]000-176+,2,N,,,
1,SC,1,R/L,]080-388-220[,3,?,,,
1,UC,1,,]000-000-220+,3,N,,,
1,NU,1,,]615[,1,?,Indefinable,Indefinable,
3,UC,1,,]220[,1,?,Indefinable,Indefinable,
1,UC,1,R/L,]000-550-231[,3,N,,,
1,PP,1,R/L,+740-690-630-240[,4,?,,,
1,UC,1,,+240[,1,?,Indefinable,Indefinable,
1,UC,1,,]400+,1,?,Indefinable,Indefinable,
1,UC,1,,+000-000-000-000-405[,5,N,,,
1,UC,1,,+697-590+,2,Y,,,
1,UC,1,,+697-510+,2,Y,,,
1,UC,1,,+697-000+,2,N,,,
1,UC,1,,]551+,1,?,Indefinable,Indefinable,
1,SS,1,R/L,]400-236+,2,?,,,
1,VN,1,R/L,+700-034+,2,Y,,,
3,SP,1,R/L,+740-603-240-060-692+,5,Y,,,
1,LP,1,R/L,+520-220-240-798-060-692+,6,Y,Linear,Unequal,
